trial_id,participant_id,language,sentence_id,noise_code,ground_truth,n_tokens,caption_output,substitutions,deletions,insertions,latency_ms
K01-S05-C1,K01,Korean,S05,C1,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,0,0,0,801
K01-S05-C2,K01,Korean,S05,C2,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해,0,1,0,1074
K01-S05-C3,K01,Korean,S05,C3,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 샐러드 내일 토요일,3,5,0,1313
K01-S06-C0,K01,Korean,S06,C0,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 샐러드 오늘은 수프랑 샐러드를 먹고 음식을,1,0,1,716
K01-S06-C1,K01,Korean,S06,C1,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,0,0,0,858
K01-S06-C2,K01,Korean,S06,C2,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드 먹고 싶어요.,1,0,0,953
K01-S06-C3,K01,Korean,S06,C3,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 건네줄래요? 아침에 수프랑 닫아 먹고 싶어요.,2,1,0,1346
K01-S07-C0,K01,Korean,S07,C0,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 회의 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",1,0,0,809
K01-S07-C1,K01,Korean,S07,C1,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 회의 가져와요?",1,0,0,861
K01-S07-C2,K01,Korean,S07,C2,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 금요일에 거예요 수프 만나는 회의 샐러드 음식은 누가 가져와요?",3,1,0,1008
K01-S07-C3,K01,Korean,S07,C3,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 금요일에 만나는 신경 오늘 닫아 회의 음식은 누가 가져와요?",3,2,1,1476
K02-S01-C0,K02,Korean,S01,C0,회의는 세 시에 시작합니다.,4,수프 신경 음식을,3,1,0,574
K02-S01-C1,K02,Korean,S01,C1,회의는 세 시에 시작합니다.,4,회의는 세 시에 시작합니다.,0,0,0,826
K02-S01-C2,K02,Korean,S01,C2,회의는 세 시에 시작합니다.,4,회의는 닫아,1,2,0,994
K02-S01-C3,K02,Korean,S01,C3,회의는 세 시에 시작합니다.,4,토요일 세,0,3,1,1362
K02-S02-C0,K02,Korean,S02,C0,나가실 때 문을 닫아 주세요.,5,나가실 때 문을 닫아 주세요.,0,0,0,545
K02-S02-C1,K02,Korean,S02,C1,나가실 때 문을 닫아 주세요.,5,나가실 때 문을 닫아 주세요.,0,0,0,852
K02-S02-C2,K02,Korean,S02,C2,나가실 때 문을 닫아 주세요.,5,나가실 때 주세요 문을 닫아 주세요.,0,0,1,1048
K02-S02-C3,K02,Korean,S02,C3,나가실 때 문을 닫아 주세요.,5,나가실 때 신호등에서 문을 주세요 음식을 닫아 주세요.,0,0,3,1417
K02-S03-C0,K02,Korean,S03,C0,다음 신호등에서 좌회전하세요.,3,다음 신호등에서 좌회전하세요.,0,0,0,606
K02-S03-C1,K02,Korean,S03,C1,다음 신호등에서 좌회전하세요.,3,다음 신호등에서 좌회전하세요.,0,0,0,957
K02-S03-C2,K02,Korean,S03,C2,다음 신호등에서 좌회전하세요.,3,다음 좌회전하세요.,0,1,0,1049
K02-S03-C3,K02,Korean,S03,C3,다음 신호등에서 좌회전하세요.,3,토요일 메뉴,2,1,0,1329
K02-S04-C0,K02,Korean,S04,C0,소포가 오늘 아침에 도착했습니다.,4,소포가 오늘 수프 아침에 도착했습니다.,0,0,1,627
K02-S04-C1,K02,Korean,S04,C1,소포가 오늘 아침에 도착했습니다.,4,소포가 오늘 아침에 도착했습니다.,0,0,0,776
K02-S04-C2,K02,Korean,S04,C2,소포가 오늘 아침에 도착했습니다.,4,소포가 오늘 아침에 도착했습니다.,0,0,0,1022
K02-S04-C3,K02,Korean,S04,C3,소포가 오늘 아침에 도착했습니다.,4,소포가 오늘 아침에,0,1,0,1387
K02-S05-C0,K02,Korean,S05,C0,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 몸속을 이동하는 오늘 대해 이야기해 볼게요.,1,0,0,575
K02-S05-C1,K02,Korean,S05,C1,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 메뉴 이동하는 방식에 대해 이야기해 볼게요.,1,0,0,910
K02-S05-C2,K02,Korean,S05,C2,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,주세요 신경계와 신호가 이동하는 주세요 대해 이야기해 볼게요.,2,1,0,1023
K02-S05-C3,K02,Korean,S05,C3,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신호가 몸속을 이동하는 대해 이야기해 볼게요.,0,2,0,1300
K02-S06-C0,K02,Korean,S06,C0,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 오늘은 수프랑 몸에서 오늘 싶어요.,2,0,0,645
K02-S06-C1,K02,Korean,S06,C1,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 오늘은 수프랑 내일 메뉴 싶어요.,2,0,0,815
K02-S06-C2,K02,Korean,S06,C2,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,메뉴판 좀 건네줄래요? 토요일 수프랑 샐러드를 회의 먹고 싶어요.,1,0,1,1061
K02-S06-C3,K02,Korean,S06,C3,메뉴판 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,8,샐러드 좀 건네줄래요? 오늘은 수프랑 샐러드를 먹고 싶어요.,1,0,0,1408
K02-S07-C0,K02,Korean,S07,C0,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 몸에서 음식을 누가 가져와요?",2,0,0,711
K02-S07-C1,K02,Korean,S07,C1,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,"잠깐, 그럼 금요일에 만나는 토요일에 오늘 거예요? 그리고 음식은 누가 가져와요?",1,1,0,884
K02-S07-C2,K02,Korean,S07,C2,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,회의 메뉴 금요일 금요일에 닫아 만나는 거예요 토요일에 신호가 거예요? 그리고 음식은 누가 몸에서,4,0,2,1040
K02-S07-C3,K02,Korean,S07,C3,"잠깐, 그럼 금요일에 만나는 거예요 토요일에 만나는 거예요? 그리고 음식은 누가 가져와요?",12,그럼 좌회전해요 만나는 토요일에 몸에서 누가 가져와요?,2,5,0,1400
E03-S01-C0,E03,English,S01,C0,The meeting begins at three.,5,The meeting begins at three.,0,0,0,709
E03-S01-C1,E03,English,S01,C1,The meeting begins at three.,5,The door begins at Saturday.,2,0,0,897
E03-S01-C2,E03,English,S01,C2,The meeting begins at three.,5,salad meeting begins at menu.,3,0,0,1023
E03-S01-C3,E03,English,S01,C3,The meeting begins at three.,5,signals light package body three.,3,1,1,1404
E03-S02-C0,E03,English,S02,C0,Please close the door behind you.,6,Please close the door behind you.,0,0,0,743
E03-S02-C1,E03,English,S02,C1,Please close the door behind you.,6,Please close body door behind morning.,2,0,0,747
E03-S02-C2,E03,English,S02,C2,Please close the door behind you.,6,Friday close the body body you.,1,1,1,1067
E03-S02-C3,E03,English,S02,C3,Please close the door behind you.,6,signals Saturday the food Saturday you.,5,1,1,1328
E03-S03-C0,E03,English,S03,C0,Turn left at the next light.,6,Turn left at the next light.,0,0,0,709
E03-S03-C1,E03,English,S03,C1,Turn left at the next light.,6,salad left door the next light.,0,1,1,973
E03-S03-C2,E03,English,S03,C2,Turn left at the next light.,6,Turn starts at Saturday next light.,2,1,0,1170
E03-S03-C3,E03,English,S03,C3,Turn left at the next light.,6,meeting menu body Friday next signals.,6,0,0,1595
E03-S04-C0,E03,English,S04,C0,The package arrived this morning.,5,The package arrived this morning.,0,0,0,696
E03-S04-C1,E03,English,S04,C1,The package arrived this morning.,5,The soup light this Saturday.,2,1,0,775
E03-S04-C2,E03,English,S04,C2,The package arrived this morning.,5,door menu arrived menu morning.,1,1,2,1087
E03-S04-C3,E03,English,S04,C3,The package arrived this morning.,5,body package package this salad.,2,1,2,1525
E03-S05-C0,E03,English,S05,C0,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going to discuss the nervous system and package signals travel through the body.,1,0,0,667
E03-S05-C1,E03,English,S05,C1,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going to discuss the door system and how signals travel through the body.,1,0,0,980
E03-S05-C2,E03,English,S05,C2,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going package salad the meeting system and how signals travel Saturday the body.,4,1,0,1227
E03-S05-C3,E03,English,S05,C3,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are Saturday morning soup the nervous system and how signals travel through the body.,4,0,1,1371
E03-S06-C0,E03,English,S06,C0,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass the menu, I think I want the soup and a salad tonight.",0,0,0,613
E03-S06-C1,E03,English,S06,C1,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass the menu, I think I want the soup and a package tonight.",0,1,0,977
E03-S06-C2,E03,English,S06,C2,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass the door, I think I light the soup package a salad tonight.",1,1,1,1079
E03-S06-C3,E03,English,S06,C3,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass Saturday door, food think I want the soup and a salad soup.",1,1,5,1487
E03-S07-C0,E03,English,S07,C0,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",0,0,0,638
E03-S07-C1,E03,English,S07,C1,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we meeting Friday or Saturday, and who morning bringing the food?",0,1,0,968
E03-S07-C2,E03,English,S07,C2,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"package, so are morning meeting Friday light Saturday, and who is bringing the food?",3,0,0,1015
E03-S07-C3,E03,English,S07,C3,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Friday, so menu Friday meeting Friday menu Saturday, and menu is bringing the food?",4,0,1,1265
E04-S01-C0,E04,English,S01,C0,The meeting begins at three.,5,The meeting begins at three.,0,0,0,634
E04-S01-C1,E04,English,S01,C1,The meeting begins at three.,5,menu meeting food at three.,2,0,0,930
E04-S01-C2,E04,English,S01,C2,The meeting begins at three.,5,The light begins soup three.,0,0,2,974
E04-S01-C3,E04,English,S01,C3,The meeting begins at three.,5,food meeting soup menu morning.,2,1,2,1382
E04-S02-C0,E04,English,S02,C0,Please close the door behind you.,6,Please close the door behind you.,0,0,0,576
E04-S02-C1,E04,English,S02,C1,Please close the door behind you.,6,Please morning the starts behind you.,1,0,2,933
E04-S02-C2,E04,English,S02,C2,Please close the door behind you.,6,meeting close soup soup behind you.,0,3,2,1206
E04-S02-C3,E04,English,S02,C3,Please close the door behind you.,6,light close the morning door you.,2,0,2,1242
E04-S03-C0,E04,English,S03,C0,Turn left at the next light.,6,Turn left at the next light.,0,0,0,764
E04-S03-C1,E04,English,S03,C1,Turn left at the next light.,6,door left soup the next light.,0,1,1,768
E04-S03-C2,E04,English,S03,C2,Turn left at the next light.,6,Turn left food door Friday light.,0,0,3,1056
E04-S03-C3,E04,English,S03,C3,Turn left at the next light.,6,Turn left starts signals next signals.,1,2,1,1225
E04-S04-C0,E04,English,S04,C0,The package arrived this morning.,5,The package arrived this morning.,0,0,0,584
E04-S04-C1,E04,English,S04,C1,The package arrived this morning.,5,starts package arrived this door.,0,0,3,923
E04-S04-C2,E04,English,S04,C2,The package arrived this morning.,5,door package arrived meeting morning.,0,0,2,1245
E04-S04-C3,E04,English,S04,C3,The package arrived this morning.,5,The package morning Friday soup.,2,1,0,1299
E04-S05-C0,E04,English,S05,C0,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going to discuss the nervous system and how signals travel through the body.,0,0,0,627
E04-S05-C1,E04,English,S05,C1,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going to discuss the nervous Saturday and how signals travel through the body.,0,1,0,792
E04-S05-C2,E04,English,S05,C2,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today soup are going meeting discuss the nervous menu and how signals travel through Saturday body.,0,1,3,1209
E04-S05-C3,E04,English,S05,C3,Today we are going to discuss the nervous system and how signals travel through the body.,16,menu body menu light to morning the nervous system and how signals travel through the body.,2,1,3,1453
E04-S06-C0,E04,English,S06,C0,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass the menu, I think I want the soup and a salad tonight.",0,0,0,574
E04-S06-C1,E04,English,S06,C1,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could meeting pass the menu, I think I want Friday soup and a salad tonight.",2,0,0,853
E04-S06-C2,E04,English,S06,C2,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"salad you body the menu, signals think I signals the soup and a salad tonight.",4,0,0,1199
E04-S06-C3,E04,English,S06,C3,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass the menu, I meeting body want package soup and a salad tonight.",1,1,1,1442
E04-S07-C0,E04,English,S07,C0,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",0,0,0,682
E04-S07-C1,E04,English,S07,C1,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we meeting food package Saturday, and who is bringing the food?",0,0,2,869
E04-S07-C2,E04,English,S07,C2,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Friday, so are morning package Friday or package, and who is bringing the signals?",5,0,0,1116
E04-S07-C3,E04,English,S07,C3,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"signals, soup are we salad Friday or Saturday, and who is bringing the food?",0,1,3,1446
E05-S01-C0,E05,English,S01,C0,The meeting begins at three.,5,The meeting begins at three.,0,0,0,730
E05-S01-C1,E05,English,S01,C1,The meeting begins at three.,5,The meeting starts food three.,2,0,0,952
E05-S01-C2,E05,English,S01,C2,The meeting begins at three.,5,Saturday soup begins at food.,4,1,0,1180
E05-S01-C3,E05,English,S01,C3,The meeting begins at three.,5,body meeting salad at three.,2,0,1,1434
E05-S02-C0,E05,English,S02,C0,Please close the door behind you.,6,Please close the door behind you.,0,0,0,637
E05-S02-C1,E05,English,S02,C1,Please close the door behind you.,6,Please close the door behind salad.,1,0,0,979
E05-S02-C2,E05,English,S02,C2,Please close the door behind you.,6,Please Saturday the signals behind you.,1,2,0,1033
E05-S02-C3,E05,English,S02,C3,Please close the door behind you.,6,Please soup morning signals morning body.,4,3,0,1410
E05-S03-C0,E05,English,S03,C0,Turn left at the next light.,6,Turn left at the next light.,0,0,0,778
E05-S03-C1,E05,English,S03,C1,Turn left at the next light.,6,Turn left morning the next light.,1,0,1,789
E05-S03-C2,E05,English,S03,C2,Turn left at the next light.,6,soup left at menu Saturday light.,0,2,1,1141
E05-S03-C3,E05,English,S03,C3,Turn left at the next light.,6,soup signals at meeting signals soup.,3,0,3,1591
E05-S04-C0,E05,English,S04,C0,The package arrived this morning.,5,The package arrived this morning.,0,0,0,739
E05-S04-C1,E05,English,S04,C1,The package arrived this morning.,5,The morning arrived this signals.,1,0,2,742
E05-S04-C2,E05,English,S04,C2,The package arrived this morning.,5,The package salad this soup.,2,1,0,1028
E05-S04-C3,E05,English,S04,C3,The package arrived this morning.,5,body package arrived morning signals.,1,0,3,1328
E05-S05-C0,E05,English,S05,C0,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going to discuss the nervous system and how signals travel through the body.,0,0,0,647
E05-S05-C1,E05,English,S05,C1,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going to discuss the nervous menu and how signals travel through the body.,0,1,0,868
E05-S05-C2,E05,English,S05,C2,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today door are going soup discuss the morning system and starts signals travel through the body.,4,1,0,1023
E05-S05-C3,E05,English,S05,C3,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are body to discuss the signals door and how signals travel soup the body.,5,0,0,1443
E05-S06-C0,E05,English,S06,C0,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass the menu, I think I want the soup and a salad tonight.",0,0,0,772
E05-S06-C1,E05,English,S06,C1,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"package you pass the menu, I think I want the soup light a salad tonight.",2,0,1,811
E05-S06-C2,E05,English,S06,C2,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you meeting the meeting, I think I want the soup and door salad soup.",0,1,3,1221
